1177,0.01208449,-1.418906E-07,-9.7547E-07,Infinity,Infinity,Infinity,Infinity,Infinity,
1617,0.0432992,1.967494E-11,-9.792693E-07,NaN,NaN,NaN,NaN,NaN,
1619,0.03134896,1.615194E-11,-9.79237E-07,NaN,NaN,NaN,NaN,NaN,
1621,0.01817707,1.302811E-11,-9.79211E-07,NaN,NaN,NaN,NaN,NaN,
1623,0.004237737,9.886914E-12,-9.791912E-07,NaN,NaN,NaN,NaN,NaN,
1625,-0.009732923,6.537467E-12,-9.791781E-07,NaN,NaN,NaN,NaN,NaN,
1627,-0.02346865,4.559036E-12,-9.79169E-07,NaN,NaN,NaN,NaN,NaN,
1629,-0.03615501,2.129384E-12,-9.791647E-07,NaN,NaN,NaN,NaN,NaN,
1631,-0.04741611,1.018686E-12,-9.791627E-07,NaN,NaN,NaN,NaN,NaN,
1633,-0.05686041,4.980463E-13,-9.791618E-07,NaN,NaN,NaN,NaN,NaN,
1635,-0.06395537,-7.688438E-13,-9.791632E-07,NaN,NaN,NaN,NaN,NaN,
1637,-0.06852873,-6.473612E-13,-9.791646E-07,NaN,NaN,NaN,NaN,NaN,
1639,-0.07039253,7.930752E-13,-9.79163E-07,NaN,NaN,NaN,NaN,NaN,
1641,-0.06948412,2.632668E-12,-9.791577E-07,NaN,NaN,NaN,NaN,NaN,
1643,-0.06581917,5.235867E-12,-9.791472E-07,NaN,NaN,NaN,NaN,NaN,
1645,-0.0595543,8.203513E-12,-9.791308E-07,NaN,NaN,NaN,NaN,NaN,
1647,-0.05087746,1.228186E-11,-9.791063E-07,NaN,NaN,NaN,NaN,NaN,
1649,-0.04018019,1.583956E-11,-9.790746E-07,NaN,NaN,NaN,NaN,NaN,
1651,-0.02794803,2.04559E-11,-9.790336E-07,NaN,NaN,NaN,NaN,NaN,
1653,-0.01450989,2.373593E-11,-9.789862E-07,NaN,NaN,NaN,NaN,NaN,
1655,-0.0006018751,2.705067E-11,-9.789321E-07,NaN,NaN,NaN,NaN,NaN,
1657,0.01343143,2.946296E-11,-9.788732E-07,NaN,NaN,NaN,NaN,NaN,
1659,0.02691657,3.177114E-11,-9.788097E-07,NaN,NaN,NaN,NaN,NaN,
1661,0.03932101,3.421814E-11,-9.787412E-07,NaN,NaN,NaN,NaN,NaN,
1663,0.05030019,3.512058E-11,-9.78671E-07,NaN,NaN,NaN,NaN,NaN,
1665,0.05918064,3.548503E-11,-9.786E-07,NaN,NaN,NaN,NaN,NaN,
1667,0.0657431,3.576271E-11,-9.785284E-07,NaN,NaN,NaN,NaN,NaN,
1669,0.06972129,3.508587E-11,-9.784583E-07,NaN,NaN,NaN,NaN,NaN,
1671,0.07094294,3.378427E-11,-9.783907E-07,NaN,NaN,NaN,NaN,NaN,
1673,0.06940804,3.140669E-11,-9.783279E-07,NaN,NaN,NaN,NaN,NaN,
1675,0.06513227,2.861259E-11,-9.782707E-07,NaN,NaN,NaN,NaN,NaN,
1677,0.05830356,2.555817E-11,-9.782195E-07,NaN,NaN,NaN,NaN,NaN,
1679,0.04917251,2.21393E-11,-9.781753E-07,NaN,NaN,NaN,NaN,NaN,
1681,0.03803671,1.878985E-11,-9.781377E-07,NaN,NaN,NaN,NaN,NaN,
1683,0.02550697,1.481564E-11,-9.781081E-07,NaN,NaN,NaN,NaN,NaN,
